iter	Passed	Remaining
0	1	132
1	2	133
2	4	132
3	5	122
4	6	117
5	7	114
6	8	111
7	9	110
8	11	111
9	12	110
10	13	110
11	14	108
12	15	106
13	16	103
14	17	101
15	19	100
16	20	99
17	21	97
18	22	96
19	23	94
20	24	93
21	26	93
22	27	91
23	28	90
24	29	88
25	30	87
26	31	85
27	32	84
28	33	82
29	35	81
30	36	80
31	37	79
32	38	78
33	39	76
34	40	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	60	51
54	61	50
55	62	49
56	63	48
57	64	47
58	65	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	93	17
84	94	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
